EventNumber,NumParticlesInEvent,NumParticlesFromHeavyHadronInEvent,NumBackgroundParticlesInEvent,NumSelectedParticlesInEvent,NumSelectedParticlesFromHeavyHadronInEvent,NumSelectedBackgroundParticlesInEvent,NumTruthClustersGen1,NumTruthClustersGen2,NumTruthClustersGen3,NumTruthClustersGen4,NumRecoClustersGen1,NumRecoClustersGen2,NumRecoClustersGen3,NumRecoClustersGen4,MaxTruthFullChainDepthInEvent,PerfectEventReconstruction,NumTrueSignalsInEvent,NumRecoSignalsInEvent
0,6,6,0,6,6,0,2,0,0,0,1,0,0,0,2,0,2,1
1,5,4,1,5,4,1,1,0,0,0,1,0,0,0,2,0,1,1
2,6,6,0,6,6,0,2,0,0,0,2,0,0,0,2,1,2,2
3,4,4,0,4,4,0,1,0,0,0,1,0,0,0,2,1,1,1
4,4,4,0,4,4,0,1,0,0,0,1,0,0,0,2,1,1,1
5,4,4,0,4,4,0,1,0,0,0,1,0,0,0,2,1,1,1
6,6,6,0,6,6,0,1,1,0,0,1,0,0,0,4,0,2,1
7,4,4,0,4,4,0,1,0,0,0,1,0,0,0,2,1,1,1
8,4,4,0,4,4,0,1,0,0,0,1,0,0,0,2,1,1,1
9,4,4,0,4,4,0,1,0,0,0,1,0,0,0,2,1,1,1
10,7,7,0,7,7,0,2,1,0,0,2,0,0,0,3,0,2,2
11,4,4,0,4,4,0,1,0,0,0,1,0,0,0,2,1,1,1
12,4,4,0,4,4,0,1,0,0,0,1,0,0,0,2,1,1,1
13,4,4,0,4,4,0,1,0,0,0,1,0,0,0,2,1,1,1
14,7,7,0,7,7,0,1,1,0,0,3,0,0,0,3,0,2,3
15,6,6,0,5,5,0,2,0,0,0,1,0,0,0,2,0,2,1
16,4,4,0,4,4,0,1,1,0,0,1,0,0,0,4,0,2,1
17,4,4,0,4,4,0,1,0,0,0,1,0,0,0,2,1,1,1
18,7,7,0,6,6,0,2,0,0,0,2,0,0,0,3,0,2,2
