EventNumber,NumParticlesInEvent,PerfectReco,AllParticles,NoneIso,PartReco,NotFound,NumBkgParticles_noniso,SigMatch,NumSignalParticles,B_id,EVENTNUMBER,RUNNUMBER,num_pvs,final_pid,final_b_score,final_bbar_score,ft_b_score,ft_bbar_score
0,6,0,0,1,0,0,-999,0,2,-511,82736,29912390,4,,,,,
0,6,0,0,0,1,0,-1,1,4,531,82736,29912390,4,,,,,
1,5,0,0,1,0,0,-999,1,4,531,80770,29910573,5,,,,,
2,6,1,1,0,0,0,-999,0,2,-421,76006,29910545,5,,,,,
2,6,1,1,0,0,0,-999,1,4,531,76006,29910545,5,,,,0.0,0.0
3,4,1,1,0,0,0,-999,1,4,531,115933,29912586,4,,,,,
4,4,1,1,0,0,0,-999,1,4,-531,139106,29912724,5,,,,,
5,4,1,1,0,0,0,-999,1,4,-531,38712,29912130,7,,,,,
6,6,0,0,1,0,0,-999,1,4,-531,48060,29910382,6,,,,,
6,6,0,0,1,0,0,-999,0,2,511,48060,29910382,6,,,,,
7,4,1,1,0,0,0,-999,1,4,531,82808,29912390,9,,,,,
8,4,1,1,0,0,0,-999,1,4,-531,37216,29912121,7,,,,,
9,4,1,1,0,0,0,-999,1,4,-531,37334,29912121,9,,,,,
10,7,1,1,0,0,0,-999,1,4,-531,111629,29912561,4,,,,,
10,7,0,1,0,0,0,-999,0,3,531,111629,29912561,4,,,,0.0,0.0
11,4,1,1,0,0,0,-999,1,4,531,48085,29910382,4,,,,,
12,4,1,1,0,0,0,-999,1,4,-531,38819,29912130,4,,,,,
13,4,1,1,0,0,0,-999,1,4,-531,49317,29912192,6,,,,,
14,7,0,0,0,1,0,-1,1,4,531,111651,29912561,7,,,,0.0,0.0
14,7,0,0,0,1,0,-1,0,3,-521,111651,29912561,7,,,,,
15,6,0,0,1,0,0,-999,1,4,-531,82779,29912390,5,,,,,
15,6,0,0,1,0,0,-999,0,2,511,82779,29912390,5,,,,,
16,4,0,0,1,0,0,-999,0,2,-531,39673,29910333,4,,,,,
16,4,0,0,1,0,0,-999,0,2,521,39673,29910333,4,,,,,
17,4,1,1,0,0,0,-999,1,4,531,108486,29910735,6,,,,,
18,7,1,1,0,0,0,-999,1,4,-531,37239,29912121,6,,,,,
18,7,1,1,0,0,0,-999,0,3,521,37239,29912121,6,,,,0.0,0.0
19,4,1,1,0,0,0,-999,1,4,531,111592,29912561,6,,,,,
20,8,0,0,0,1,0,-2,0,4,521,82715,29912390,7,,,,0.0,0.0
20,8,1,1,0,0,0,-999,1,4,-531,82715,29912390,7,,,,,
21,4,1,1,0,0,0,-999,1,4,-531,139201,29912724,1,,,,,
22,9,0,0,0,0,1,-999,1,4,531,37230,29912121,6,,,,0.0,0.0
22,9,0,0,0,1,0,-3,0,5,-511,37230,29912121,6,,,,,
23,7,0,0,1,0,0,-999,0,3,-521,79876,29910568,8,,,,,
23,7,0,0,0,1,0,1,1,4,531,79876,29910568,8,,,,,
24,4,1,1,0,0,0,-999,1,4,531,111559,29912561,7,,,,,
25,6,0,0,1,0,0,-999,1,4,531,22004,29910229,5,,,,,
25,6,0,0,0,1,0,3,0,2,411,22004,29910229,5,,,,,
26,4,1,1,0,0,0,-999,1,4,-531,139199,29912724,10,,,,,
27,6,0,0,1,0,0,-999,1,4,531,108450,29910735,5,,,,,
27,6,0,0,0,1,0,3,0,2,-521,108450,29910735,5,,,,,
28,8,0,0,0,1,0,-2,0,4,521,37258,29912121,7,,,,,
28,8,0,0,0,1,0,-1,1,4,-531,37258,29912121,7,,,,0.0,0.0
29,4,1,1,0,0,0,-999,1,4,-531,48185,29910382,7,,,,,
30,4,1,1,0,0,0,-999,1,4,-531,37339,29912121,9,,,,,
31,12,0,0,0,1,0,-1,1,4,531,75990,29910545,7,,,,,
